Name,Potential,Value,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Composure,Marking
Adilson Edrada,75,7000,175.26,159,63,73,56,76,68,75,61,66,58,73,79,82,81,66,78,61,69,55,59,73,43,38,76,67,16
A. Ibargüen,76,8000,167.64,139,70,68,44,68,49,80,61,52,66,74,91,90,92,66,86,65,82,56,37,66,46,34,69,64,51
K. Wimmer,80,7500,187.96,187,44,21,74,72,27,64,24,28,70,66,53,53,59,71,61,40,64,65,79,25,74,76,35,69,74
A. Mejía,75,5000,177.8,174,59,33,51,74,31,51,36,32,73,69,65,61,66,76,68,67,53,90,85,56,81,76,58,62,65
A. Barreca,80,7500,180.34,154,78,21,65,66,33,75,67,21,58,75,78,91,79,75,78,53,67,78,65,42,62,70,58,68,69
Gil Dias,82,9500,182.88,172,66,67,60,72,60,83,59,61,60,80,79,86,80,72,70,72,52,72,67,72,50,39,70,72,42
J. Locadia,79,9000,185.42,192,67,75,67,72,67,74,65,74,69,70,73,76,66,72,63,84,58,68,78,72,74,37,71,76,29
O. Peralta,75,3500,177.8,176,62,72,74,68,72,72,66,56,64,76,69,70,77,75,60,73,80,71,78,69,78,42,80,80,35
C. Budescu,75,6500,182.88,187,66,70,54,76,65,75,83,79,72,80,58,64,67,76,70,79,46,69,64,76,65,47,70,67,48
A. Raggi,75,2000,187.96,181,72,44,75,74,50,61,48,39,66,72,51,51,63,73,58,69,69,64,77,56,82,74,59,74,76
R. Donk,75,3800,193.04,176,60,60,75,75,42,73,44,39,69,75,52,63,60,68,39,81,81,90,82,67,74,75,64,73,71
Edgar Méndez,75,7000,187.96,168,76,74,69,72,74,74,72,33,68,73,86,84,75,64,57,75,72,74,81,66,74,42,72,73,35
L. De Silvestri,75,6500,185.42,185,80,64,83,76,61,74,68,62,71,76,75,75,68,78,58,74,78,77,78,74,71,74,71,72,74
M. Saracchi,85,9500,172.72,152,76,64,68,74,48,73,50,61,70,72,87,83,77,71,78,71,76,79,68,68,77,66,71,72,75
D. Congré,75,2700,185.42,176,65,25,72,69,26,65,32,23,68,70,49,62,58,65,61,41,73,65,80,26,74,73,51,66,78
T. Kolodziejczak,76,6500,185.42,165,74,26,74,71,30,55,59,34,67,65,78,77,70,69,54,47,79,78,80,43,75,75,62,55,72
Felipe Vizeu,87,12000,182.88,181,45,74,78,60,75,67,57,45,52,73,70,79,67,72,65,78,66,66,79,63,55,25,77,73,20
J. Damm,76,8000,185.42,154,68,68,65,70,51,77,66,59,62,75,94,95,89,71,66,65,72,77,69,55,68,48,68,69,42
G. Nkoudou,80,9000,175.26,161,74,65,49,73,74,79,74,58,62,74,89,88,86,74,89,67,56,64,60,71,48,21,72,70,32
Joel Robles,76,5500,195.58,198,12,11,12,15,13,15,11,20,26,25,46,50,43,66,39,36,64,25,69,11,23,22,13,54,11
B. Zungu,78,7000,182.88,168,72,65,59,75,71,76,75,59,75,77,66,68,68,75,66,70,78,89,74,61,74,71,67,75,67
Otávio Cairinho,75,6000,177.8,176,62,43,72,64,43,44,47,55,61,56,56,61,54,67,63,61,82,61,76,54,82,72,36,69,77
C. Domínguez,79,8500,177.8,154,70,70,56,74,62,76,67,59,70,73,78,77,76,69,70,68,64,77,68,69,53,43,75,73,53
R. Falk,76,8000,177.8,143,68,64,58,77,62,76,55,51,70,76,84,84,88,74,89,66,86,90,64,61,65,57,72,73,56
André Ramalho,77,6500,182.88,172,46,51,80,73,42,62,58,68,72,68,52,50,67,75,66,74,87,73,77,70,62,78,59,70,72
A. Musa,77,8500,170.18,137,67,75,64,63,71,75,60,48,52,73,95,92,87,80,86,77,74,88,48,71,33,24,78,71,28
G. İnler,75,2000,182.88,176,70,56,68,74,70,72,64,68,74,75,49,42,60,70,59,80,73,65,73,75,77,72,61,77,75
L. Cigarini,75,5000,175.26,159,76,58,48,80,70,71,76,78,79,77,66,55,70,68,77,74,49,64,64,74,62,70,62,73,73
M. Jensen,81,9000,172.72,150,63,65,50,76,50,73,63,66,75,74,74,74,87,74,79,71,72,87,63,69,65,59,69,80,76
Burgui,78,8500,182.88,165,74,69,55,74,54,78,76,64,63,77,74,78,72,72,63,65,56,78,62,66,35,38,75,69,59
A. Meret,89,12000,190.5,183,15,17,19,29,20,16,20,21,22,22,41,48,37,70,48,21,68,29,65,17,22,22,20,67,10
M. Gonalons,75,5000,187.96,168,61,55,74,74,60,67,57,57,74,74,65,55,63,75,65,77,78,62,78,59,83,77,60,73,71
R. Karsdorp,80,7500,182.88,176,77,53,69,72,66,76,60,60,73,75,86,87,65,73,65,80,74,72,69,69,78,67,65,68,71
K. Laimer,82,8000,180.34,159,69,60,63,76,58,74,65,47,68,75,74,79,73,77,72,68,69,84,68,65,75,73,67,72,68
Serey Dié,75,2700,177.8,170,56,43,64,73,43,68,59,55,69,73,70,61,77,72,79,62,78,75,74,46,89,75,58,73,70
A. Westwood,75,6500,175.26,161,76,49,55,80,51,67,71,75,79,74,63,55,70,75,77,71,71,80,66,57,70,74,60,76,76
C. Ciano,75,6500,175.26,161,72,70,60,73,67,76,75,76,70,77,87,75,82,71,78,70,55,68,62,71,51,25,67,74,24
A. Conti,79,8500,182.88,168,76,58,64,76,59,74,67,42,69,76,75,82,79,76,68,68,53,87,59,49,73,73,73,72,76
Bojan,75,7000,170.18,143,68,70,42,76,75,75,79,66,72,74,75,68,80,69,85,72,43,57,40,69,30,29,73,74,31
Y. Benzia,81,9000,177.8,168,66,72,64,75,69,79,77,71,68,76,72,68,77,68,72,71,79,72,58,67,61,55,75,75,33
W. Hennessey,75,4000,198.12,198,11,12,14,29,10,8,12,11,41,23,40,41,48,65,51,34,41,29,68,10,21,22,14,55,13
E. Thommy,79,8500,175.26,154,80,70,49,74,65,77,76,75,64,78,79,77,87,67,77,69,53,66,51,71,37,27,65,63,28
Bustinza,78,7000,175.26,163,76,30,76,72,23,56,45,35,53,71,66,68,63,70,70,44,75,77,70,38,71,78,52,64,69
Bernardo,80,7500,185.42,168,61,28,64,70,53,63,47,32,53,70,74,77,69,69,66,72,78,76,69,68,74,71,58,64,75
P. Cissé,75,4200,182.88,161,63,79,70,72,74,73,75,59,58,76,76,49,78,77,72,79,70,69,72,75,51,30,77,74,57
Oier,75,4700,190.5,201,23,14,15,34,12,20,24,15,36,20,45,43,48,71,40,20,66,43,66,15,28,20,13,54,15
D. Gayle,75,7000,175.26,172,59,79,68,64,68,70,54,75,53,71,85,81,83,74,81,76,72,70,62,71,46,35,82,75,20
Joelinton,80,9000,185.42,190,44,75,72,72,64,76,52,38,56,74,77,79,73,69,69,72,75,69,84,60,63,45,74,70,29
B. Jones,75,900,193.04,192,19,17,11,28,11,18,13,12,18,22,52,55,25,75,30,24,70,40,72,11,32,23,17,56,17
J. Drmić,78,8500,182.88,179,70,75,71,73,74,74,76,51,63,72,75,77,69,72,73,77,72,65,72,72,72,35,75,72,28
M. Mount,86,11000,177.8,141,69,67,59,76,61,76,75,76,71,79,77,69,78,70,75,70,46,74,46,68,38,45,63,70,44
A. McGregor,75,900,182.88,163,11,19,13,36,15,18,20,14,39,29,33,41,65,70,51,23,73,30,71,14,53,18,13,68,15
R. Steffen,75,7000,170.18,143,73,69,61,74,77,75,78,72,67,76,87,86,90,71,80,75,75,79,58,74,67,38,68,75,48
S. Ilsanker,75,5000,187.96,190,39,45,72,71,43,50,41,33,64,58,38,77,34,78,38,70,60,78,84,62,89,82,46,62,72
Nicholas Aldair,75,7500,187.96,179,66,75,72,74,74,72,63,59,58,75,59,77,63,72,60,78,69,83,77,73,67,40,72,83,23
R. Sessegnon,88,12000,177.8,154,71,75,55,74,55,74,54,31,63,76,85,87,79,75,85,67,66,78,55,57,60,67,77,79,66
M. Coco,81,9000,182.88,172,75,71,59,76,68,78,60,36,64,76,86,86,82,69,71,69,60,60,63,68,49,50,73,69,29
K. Babacar,77,8500,190.5,187,50,75,74,64,76,72,64,60,46,76,70,75,71,70,59,79,76,65,78,62,58,20,77,70,43
Postigo,75,5000,185.42,172,42,44,70,66,36,52,30,26,70,65,59,64,63,68,54,56,79,67,83,34,75,74,30,72,79
Renato Sanches,84,10000,175.26,154,60,65,64,76,68,77,59,68,70,77,79,77,76,72,90,85,79,86,76,77,90,69,70,67,73
S. Mounié,82,9500,190.5,176,60,74,84,67,69,64,52,41,59,70,66,70,60,71,54,78,83,66,83,65,78,42,76,67,35
P. Capelle,75,4400,180.34,161,76,68,55,75,79,76,75,77,73,76,74,75,78,75,67,74,69,78,67,78,71,74,77,64,69
T. Davies,84,10000,185.42,154,66,64,57,80,42,76,58,61,74,77,69,66,74,69,72,70,56,74,68,58,83,63,70,75,64
N. Dirar,75,5000,187.96,174,74,62,47,74,62,77,75,62,65,78,78,80,76,73,65,70,77,75,77,68,70,55,75,74,58
J. Kluivert,86,11000,170.18,146,69,70,52,68,67,82,72,58,54,78,91,88,85,67,83,77,66,69,61,76,66,25,65,74,47
H. Ayala,75,4500,182.88,179,61,52,71,66,46,51,46,41,62,64,55,67,63,77,44,65,67,74,75,57,64,74,44,75,78
L. Klostermann,82,8000,187.96,183,65,45,72,71,33,65,37,22,55,70,79,90,63,72,60,51,82,74,74,31,62,75,63,63,74
G. Rodríguez,79,7500,185.42,176,59,41,65,75,47,59,49,42,72,72,53,57,54,62,52,59,45,75,81,55,83,78,50,65,75
M. Locatelli,83,8500,185.42,165,66,54,68,78,64,73,64,60,72,79,63,65,67,68,54,76,59,75,69,72,68,75,54,66,76
F. Caputo,75,6500,180.34,163,50,77,72,66,74,72,58,54,52,70,85,88,86,70,77,73,92,74,74,66,50,14,75,75,40
F. Schär,80,7500,187.96,185,65,60,79,73,53,64,65,66,74,69,60,50,64,75,61,76,88,69,77,65,72,76,66,70,73
A. Haidara,84,10000,175.26,148,68,65,50,75,57,75,75,60,73,75,79,77,76,77,74,75,76,81,69,74,62,71,74,78,59
Chema Rodríguez,78,7000,187.96,176,48,55,70,69,72,54,36,33,67,67,70,68,68,71,61,75,78,70,76,56,80,75,34,65,72
T. Bifouma,76,8000,180.34,176,67,72,58,67,62,77,50,45,56,77,93,94,92,72,73,81,91,67,71,64,64,34,71,62,24
Dani Rochelinhas,75,7000,177.8,165,66,64,51,74,61,75,72,73,71,76,81,72,82,74,67,55,51,71,54,62,57,41,77,78,26
M. Ostrzolek,75,5500,177.8,159,72,36,60,71,49,73,60,47,69,76,77,75,77,74,76,66,67,78,65,43,74,69,59,71,71
Sandro,81,9500,175.26,157,65,77,62,68,74,75,81,77,49,81,74,69,82,73,79,81,70,57,66,75,62,33,77,65,25
L. Deaux,75,5000,187.96,181,59,51,68,76,32,65,52,41,74,71,51,63,58,69,52,66,67,87,80,54,80,71,65,70,72
J. Hansen,75,3400,187.96,172,18,13,13,44,11,12,16,12,49,35,41,42,48,73,64,12,71,44,68,13,31,27,12,58,28
Gonçalo Paciência,82,9500,182.88,183,29,77,68,65,78,79,67,41,47,76,62,65,70,74,74,77,66,75,78,73,83,37,75,81,15
Córdoba,83,10000,180.34,161,73,70,51,75,45,81,63,38,65,75,85,82,86,60,78,70,68,66,65,73,68,35,70,72,67
P. Pekarík,75,4400,175.26,154,73,29,44,74,35,73,67,39,64,76,72,73,73,76,76,56,63,69,65,30,65,75,54,73,79
Ximo Navarro,75,5500,177.8,157,70,36,71,74,25,65,61,42,61,72,71,76,69,69,72,64,84,88,70,55,80,74,62,67,71
Pablo Hernández,75,4000,172.72,146,75,73,56,72,64,74,81,77,69,79,72,70,79,68,82,74,67,74,55,73,54,58,71,78,40
S. Bamba,75,2700,190.5,190,27,27,76,59,16,58,34,16,53,57,53,55,32,65,32,51,65,52,89,15,82,79,24,64,72
S. Kums,75,6000,175.26,161,74,57,52,79,67,73,74,73,76,78,63,63,75,73,78,72,61,69,63,72,71,73,64,76,74
S. Mitrović,76,6000,187.96,185,38,22,78,59,28,51,29,33,57,62,48,47,46,70,43,61,63,67,78,38,80,72,31,70,78
D. Aogo,75,4500,185.42,183,76,40,68,77,65,74,79,73,72,74,67,77,72,72,66,74,71,74,76,66,72,74,67,74,76
F. Tait,78,8500,175.26,154,75,68,42,77,63,79,70,66,72,76,77,72,74,74,79,70,52,72,51,72,56,27,73,74,30
D. Zagadou,85,9000,195.58,198,46,26,77,71,25,49,37,25,55,54,52,69,47,70,34,56,64,61,87,24,75,70,31,68,71
M. Diamé,75,5500,182.88,190,62,64,71,77,70,76,69,29,69,74,67,68,70,75,69,85,69,79,79,73,82,79,69,73,68
A. Younes,76,8000,167.64,157,56,58,44,77,62,88,78,59,57,84,84,75,84,77,92,55,37,79,50,56,55,42,74,69,30
B. Verstraete,80,7500,175.26,150,69,48,67,72,44,64,59,68,75,70,79,67,81,69,75,73,87,87,71,59,88,78,54,69,72
K. Akpoguma,81,8000,193.04,187,60,45,70,65,35,59,31,27,60,63,69,78,54,73,51,70,55,67,78,38,69,74,45,60,77
B. Santamaria,80,7500,182.88,161,64,65,60,78,42,76,48,49,78,78,63,65,73,68,69,62,69,75,63,62,66,69,63,65,74
E. Moretti,75,900,182.88,170,51,16,75,59,27,49,52,33,56,64,48,34,48,64,65,56,73,39,68,39,74,84,31,73,80
H. Behrens,75,6500,187.96,181,54,68,81,74,62,69,52,40,68,73,67,69,66,76,62,78,84,92,79,76,77,79,72,71,73
M. Maignan,83,7500,190.5,196,18,13,17,36,16,22,14,16,27,24,44,43,39,72,55,19,72,28,76,20,17,24,14,55,14
Y. Karamoh,85,10500,185.42,170,67,68,65,70,66,80,67,44,63,79,84,79,73,70,65,69,68,72,61,70,50,29,72,65,23
A. Thomasson,77,8000,177.8,159,70,67,63,78,64,74,71,54,73,77,68,74,76,71,83,76,70,67,54,74,62,65,71,76,57
D. Amartey,79,7000,185.42,174,62,46,70,77,68,70,44,32,68,70,70,74,65,70,66,75,84,86,82,69,82,74,47,69,74
R. Özcan,75,2700,182.88,172,12,14,14,34,13,13,14,19,26,14,52,51,48,73,36,23,71,36,72,17,32,22,10,53,12
C. McGregor,78,8500,175.26,163,66,70,44,79,49,75,73,62,65,77,82,78,86,72,84,67,48,90,67,72,73,70,70,78,67
R. Martínez,81,9500,180.34,187,58,74,67,68,64,75,63,27,61,76,78,83,76,74,66,75,78,65,81,65,59,30,74,67,40
H. Arter,75,6500,175.26,154,62,66,53,80,63,69,64,70,77,75,65,58,71,72,75,76,68,71,69,73,86,70,69,73,64
A. Mawson,84,9000,187.96,192,23,48,79,68,40,56,22,24,66,65,57,58,47,66,49,53,76,56,83,21,69,75,25,65,76
F. Guilbert,84,9000,177.8,154,73,40,74,72,32,66,58,42,64,71,70,75,61,68,73,65,80,78,76,45,62,73,63,69,68
S. Sturaro,78,8000,180.34,176,68,55,68,77,74,76,64,64,75,77,74,74,74,69,67,78,67,80,78,77,86,75,73,74,76
A. Duncan,80,8500,177.8,172,73,50,68,79,58,71,64,50,74,74,77,71,73,77,70,80,78,80,72,75,86,79,68,76,73
Marlon,82,8000,182.88,176,43,40,71,72,33,64,57,46,69,72,63,71,60,65,59,61,64,66,78,36,76,77,36,66,75
M. Isla,75,4800,175.26,165,78,41,58,75,58,75,78,64,72,73,80,75,84,74,78,65,66,79,68,66,76,73,70,76,72
Thiago Maia,82,8000,177.8,174,61,46,63,77,53,70,53,52,73,74,69,70,60,74,64,74,74,75,74,65,75,74,61,75,70
Y. Aït Bennasser,83,10000,182.88,165,64,56,58,78,62,78,59,56,79,80,73,75,76,67,68,74,71,70,67,67,62,67,68,72,62
J. Urretaviscaya,75,6500,172.72,146,75,68,54,73,66,75,75,70,66,76,84,86,77,72,73,78,66,72,60,67,56,30,73,73,29
F. Roncaglia,75,4500,177.8,168,68,38,70,69,25,59,67,52,81,69,61,67,65,72,69,80,80,65,72,73,74,79,51,70,70
R. Botta,75,6500,175.26,157,73,68,38,71,65,78,76,74,68,75,78,78,81,68,73,75,52,72,67,77,55,33,69,77,33
R. Mandragora,85,10500,182.88,168,65,59,65,77,55,76,66,57,74,75,54,67,73,74,74,66,68,76,77,65,67,74,62,69,77
A. Adomah,75,6500,182.88,163,70,73,51,68,59,74,63,53,64,74,86,88,74,71,62,71,66,74,68,64,55,61,74,73,49
D. Samassékou,85,9500,177.8,150,57,42,59,75,37,68,55,34,71,73,68,78,77,76,77,60,74,80,67,54,70,77,55,78,73
M. Yoshida,75,5000,187.96,172,36,34,74,63,56,60,38,33,52,66,58,61,65,73,57,50,86,66,76,41,66,73,42,70,73
D. Cataldi,79,8500,180.34,154,70,66,60,79,65,72,67,70,76,77,74,69,73,70,75,75,55,68,65,75,74,71,67,68,67
Martín,80,7500,177.8,159,77,28,70,76,23,65,30,40,45,75,74,74,69,69,67,43,58,77,60,35,62,70,60,59,72
Tiago Pinto,75,4800,177.8,154,73,48,59,72,49,75,68,69,72,76,86,79,84,73,77,76,75,82,64,73,63,72,67,74,64
M. Gaćinović,81,9000,175.26,152,69,72,47,78,61,81,60,51,72,79,78,78,90,73,79,65,64,77,53,63,65,55,69,65,61
L. Rigoni,75,3900,185.42,168,65,61,69,78,60,70,49,59,76,75,67,68,62,75,58,79,72,74,70,75,76,73,70,76,69
C. Daniels,75,4400,177.8,165,75,55,67,74,53,74,69,68,69,74,74,69,70,74,72,70,76,73,68,62,64,74,71,70,72
K. Stafylidis,79,7000,177.8,170,77,48,51,73,68,72,76,81,74,75,76,79,73,74,75,89,70,70,72,85,85,64,41,66,75
Sabin Merino,76,8000,187.96,165,72,77,80,71,71,80,67,66,62,76,69,78,61,71,44,64,62,53,66,71,60,46,79,76,61
A. Flint,76,6000,198.12,183,21,55,83,57,38,33,24,25,52,57,47,51,31,72,27,63,74,69,90,26,79,72,52,60,74
Brais Méndez,84,10500,187.96,172,64,73,52,74,65,78,69,56,65,80,71,71,70,74,52,71,65,70,70,72,36,47,75,71,45
Merino,84,10000,185.42,183,59,62,75,78,58,76,68,69,74,78,61,62,64,70,60,66,69,68,74,67,73,75,70,68,58
Serantes,77,5500,182.88,159,17,18,19,21,13,16,22,13,39,25,55,65,58,71,41,44,72,44,52,14,27,11,13,56,25
V. Guzmán,80,9000,175.26,172,63,70,77,78,48,73,63,67,74,74,75,76,72,75,74,75,78,81,64,74,66,69,69,70,71
E. Mas,75,5000,180.34,179,64,55,72,70,60,71,64,50,67,74,78,79,73,72,64,71,79,87,76,65,76,76,72,70,66
Zeca,75,6500,182.88,148,69,60,55,75,65,72,61,60,75,74,75,77,74,80,76,69,65,90,70,62,82,77,65,77,77
K. Ayhan,80,7500,182.88,185,68,35,69,74,41,64,82,74,71,68,65,66,67,75,64,83,86,68,77,71,75,74,50,75,75
N. Roux,75,6500,182.88,179,66,74,84,70,74,74,65,61,57,74,69,73,69,70,76,74,79,66,76,74,52,32,75,74,43
W. Morgan,75,2000,185.42,223,17,19,76,55,23,58,14,18,47,61,30,30,28,76,48,52,73,50,87,35,79,75,39,68,76
J. Alonso,80,7500,182.88,181,68,54,73,65,39,63,41,39,69,68,64,74,66,69,62,58,73,76,85,55,79,74,55,70,69
M. Wakaso,75,7000,170.18,159,74,55,50,76,76,75,66,57,71,76,87,87,81,77,85,85,85,81,74,69,85,74,71,65,77
Y. Mvogo,80,6500,190.5,198,13,10,24,24,19,18,14,20,22,27,43,41,58,71,57,22,71,28,74,14,37,13,13,30,28
Kaíquão Castro,75,2700,190.5,194,9,8,10,20,9,9,8,7,16,21,34,38,31,72,41,23,67,41,81,7,36,22,11,67,23
P. Hurtado,75,7000,175.26,159,70,72,72,74,70,75,68,72,71,76,80,83,75,70,73,76,80,65,59,71,42,45,72,72,48
Melero,81,8000,182.88,170,55,74,75,74,52,70,68,67,73,75,59,63,61,73,67,71,68,73,69,73,69,76,70,65,72
Borja Bastón,78,8500,190.5,181,51,75,76,68,76,66,68,46,54,74,51,62,62,73,34,78,53,63,91,72,61,23,78,70,55
O. Murillo,75,4900,182.88,170,59,42,75,61,22,46,35,27,65,56,66,72,54,70,43,43,85,66,83,35,76,79,29,70,71
O. Onazi,78,7000,172.72,161,67,51,53,74,68,72,70,50,74,75,83,78,90,71,91,78,55,85,68,77,69,74,68,65,70
C. Günter,76,6500,182.88,183,76,38,57,69,39,72,71,68,59,68,73,87,67,71,63,70,53,85,76,49,83,72,59,67,69
Unai López,82,9000,170.18,154,71,74,51,75,55,75,73,79,74,76,74,72,75,70,89,63,74,79,54,71,72,69,68,62,57
K. Iheanacho,83,10000,182.88,176,49,77,60,67,73,77,69,64,61,76,78,78,72,71,68,75,62,69,70,72,61,21,79,71,28
C. Söyüncü,83,8500,185.42,181,46,37,68,56,48,57,39,37,55,59,67,72,64,69,58,65,68,67,78,42,81,71,42,59,69
F. Niederlechner,75,7000,187.96,190,54,79,69,64,73,71,59,44,48,68,68,75,67,74,62,81,64,77,78,72,80,35,77,69,27
S. Denswil,79,7000,185.42,179,44,46,76,73,43,63,68,76,70,68,45,53,60,71,53,83,55,64,85,60,76,71,41,74,75
G. Rodríguez,75,2000,182.88,174,38,45,80,63,23,57,50,46,65,67,62,67,64,71,58,69,81,66,78,36,81,75,32,75,74
H. Hateboer,80,9000,187.96,163,77,55,63,75,52,77,41,30,70,75,76,82,64,74,64,72,74,86,72,58,71,65,67,67,73
I. Fernández,75,6500,182.88,148,71,64,56,76,62,78,73,69,74,75,75,75,74,72,66,74,33,82,70,76,72,62,70,72,67
L. Blas,84,10500,180.34,161,77,67,58,77,70,79,69,52,74,79,84,71,79,62,74,72,62,63,60,72,64,57,69,68,27
Mikel Rico,75,3900,177.8,165,55,61,58,75,53,62,52,63,76,70,54,39,68,80,73,80,79,79,76,64,72,78,69,82,69
F. Neuhaus,85,10500,182.88,163,59,59,54,77,61,77,66,41,74,78,74,67,78,77,75,68,54,75,58,73,57,59,64,74,64
S. İnan,75,3900,182.88,163,78,68,61,80,62,73,83,85,79,78,55,45,58,70,61,78,68,66,65,78,60,62,63,75,70
Mexer,75,5000,187.96,174,40,44,72,72,50,59,55,32,55,69,52,67,66,66,64,49,75,74,79,59,78,75,43,75,73
F. Magnanelli,75,2700,180.34,174,61,45,61,72,60,56,62,61,71,72,67,65,63,72,64,68,55,69,70,66,85,79,53,82,78
F. Helander,77,7000,193.04,185,30,28,74,52,21,52,39,40,48,54,46,52,54,68,54,58,68,63,83,25,80,77,24,63,80
J. Gondorf,75,6000,175.26,172,68,63,59,78,59,73,72,73,73,74,72,66,74,74,83,72,83,90,75,69,83,68,65,72,67
R. Ghezzal,76,8000,182.88,154,74,71,56,76,59,80,80,74,71,80,73,72,76,63,73,74,59,68,61,75,50,27,73,74,25
Adama,85,10500,177.8,168,72,61,40,66,52,89,65,42,56,83,97,96,81,63,83,74,73,75,83,55,54,29,62,70,16
O. Duda,82,9500,180.34,163,62,77,49,76,70,79,68,75,69,80,70,67,76,72,75,75,70,78,55,53,60,26,68,78,63
R. Bensebaini,79,7000,185.42,165,73,49,74,72,43,68,58,37,64,73,69,68,59,75,60,49,80,77,79,43,83,75,62,71,73
L. Depoitre,75,6500,190.5,201,42,74,84,71,70,64,46,29,59,73,48,58,35,73,48,80,69,69,90,64,77,32,78,68,35
Rochina,75,7000,182.88,168,69,72,54,77,68,80,76,72,71,78,74,72,69,70,68,78,67,69,73,80,65,50,73,69,53
M. Doherty,78,7000,182.88,196,71,57,62,74,46,74,62,45,69,75,74,78,69,68,68,72,82,89,73,62,73,69,71,67,69
C. Musonda,85,11000,172.72,146,72,66,39,73,52,82,69,59,70,79,89,80,92,72,84,70,38,60,41,62,32,21,68,66,24
S. Ward,75,3700,185.42,176,73,57,73,73,66,71,69,55,68,73,63,60,63,79,62,70,72,78,72,54,80,76,60,73,77
Y. Cardinale,78,6000,180.34,185,20,14,16,52,20,25,13,18,41,30,53,40,43,68,47,25,57,36,76,20,37,15,12,57,9
S. Francis,75,2700,187.96,198,72,25,72,73,26,67,51,61,67,70,49,54,51,73,58,70,67,55,77,62,75,72,57,71,74
Lafortiscinho,75,5500,177.8,165,73,48,72,66,58,72,80,65,74,71,81,83,80,68,70,54,73,81,62,58,75,73,58,68,75
Rubén Pérez,75,5000,177.8,161,52,43,56,78,26,62,55,57,71,72,54,45,63,72,67,79,73,77,71,71,87,83,58,71,50
D. Boyata,77,6500,187.96,190,46,20,76,66,36,57,34,13,56,61,66,72,62,55,59,56,85,77,90,25,77,73,47,55,68
N. Mendy,77,6500,167.64,161,67,49,65,79,43,71,69,54,72,76,71,68,74,74,87,62,76,77,68,64,78,74,55,70,70
Pedraza,80,9000,182.88,161,78,72,56,70,52,78,65,57,66,77,80,84,72,72,57,78,61,75,69,66,58,48,70,65,51
K. Stöger,80,9000,175.26,165,74,67,45,74,63,76,68,63,77,75,74,66,76,69,77,69,58,77,60,71,50,35,68,68,38
A. Limbombe,79,8500,175.26,170,83,66,36,69,70,78,77,66,59,76,88,90,90,69,83,79,77,71,56,74,61,48,70,71,63
K. McDonald,75,5000,193.04,212,69,54,56,76,50,66,63,56,71,74,47,50,53,75,61,71,68,70,77,64,76,74,60,78,76
O. Niasse,75,7000,182.88,181,56,77,74,64,74,75,63,39,35,73,78,72,68,70,67,76,71,74,72,71,64,35,77,67,19
R. Borré,82,9500,175.26,157,63,76,72,70,72,77,79,67,61,74,82,80,82,71,80,75,79,69,68,68,67,35,75,77,41
D. Rodríguez,75,5500,170.18,143,66,43,68,68,42,55,65,47,78,75,72,53,71,75,75,78,76,78,69,77,78,77,50,68,75
T. Klose,75,4900,193.04,192,24,29,81,66,32,27,38,26,68,52,48,46,33,73,31,64,58,65,84,35,73,74,37,73,75
A. Cornelius,79,8500,193.04,201,42,75,79,67,67,67,45,56,43,74,67,69,49,68,60,77,72,66,93,68,72,28,76,71,54
C. Larin,82,9500,187.96,198,35,77,76,62,60,67,43,22,21,69,69,73,61,71,44,82,63,69,86,68,63,22,74,64,21
M. Leckie,75,7000,180.34,181,76,68,72,68,65,76,72,36,54,75,91,89,75,70,78,74,87,77,70,67,73,54,73,67,63
L. Quiñones,75,7000,177.8,143,71,73,51,69,70,76,61,40,66,75,90,93,88,73,67,71,56,62,63,67,59,21,73,72,47
A. Surman,75,5500,177.8,161,68,63,59,82,55,67,61,68,77,77,59,53,59,75,72,68,70,72,65,67,68,66,66,76,66
M. Höger,75,6500,182.88,183,72,65,67,74,72,71,72,61,72,75,55,49,62,77,61,75,77,86,77,70,79,80,70,79,73
S. Dann,75,4500,187.96,172,30,40,81,59,29,38,30,29,58,60,38,33,42,77,51,52,66,56,77,32,72,77,36,70,77
C. Cathcart,75,5000,190.5,183,39,29,76,71,30,47,39,39,62,59,40,47,59,70,56,56,67,59,77,41,72,73,27,70,75
Zaldúa,78,7000,175.26,154,77,25,75,78,23,55,53,41,55,68,69,69,63,68,71,48,67,65,60,40,78,76,49,63,71
Pelé,77,6500,182.88,170,59,50,65,77,58,66,54,65,71,72,63,60,67,75,63,73,71,77,74,66,82,75,64,74,73
M. Kelly,76,6000,190.5,170,70,38,76,68,39,58,60,35,64,67,46,52,56,73,53,61,68,61,76,38,71,72,42,74,75
Y. Bolasie,75,6500,187.96,185,75,64,51,71,51,79,65,49,67,81,79,84,79,73,74,80,63,70,74,68,76,31,69,77,29
L. Zelarayán,77,8000,172.72,161,71,64,50,73,69,79,74,75,72,75,78,75,91,69,76,73,81,72,59,65,50,44,69,61,50
Gelson Fernandes,75,4500,177.8,154,62,51,63,72,55,64,57,55,69,67,66,60,66,72,67,67,70,90,75,55,87,79,61,71,73
A. Hurtado,75,6000,170.18,143,65,73,68,70,72,81,63,61,69,74,92,91,91,70,75,74,76,75,71,71,58,40,73,64,40
